Categories,year,flesch_kincaid_Mean,smog_Mean,length_Mean,total,flesch_kincaid_Count,flesch_kincaid_Sum,flesch_kincaid_Max,flesch_kincaid_Min,smog_Count,smog_Sum,smog_Max,smog_Min,length_Count,length_Sum,,length_Max,length_Min,ChildCount,Count_Parental,Count_Guardian,Count_Child,Count_Underage,Count_Kid,Count_Young,Count_Youth,Count_Under1,Count_Under_1,Count_Ageof1
business;education;mediasharing,2014,12.60402977,15.00772958,8424.541667,24,24,302.4967145,15.26467124,9.799010893,18,270.1391325,17.35372351,13.40145869,24,202189,FALSE,14681,2515,11,1,6,24,0,2,0,0,0,18,4
business;education;mediasharing,2015,12.6263099,14.98566389,8509.038462,26,26,328.2840574,15.26467124,9.799010893,21,314.6989418,17.35372351,13.2950065,26,221235,FALSE,14681,1209,12,0,6,26,0,2,0,0,0,20,6
business;education;mediasharing,2016,12.38002255,15.0962484,7697.428571,21,21,259.9804735,15.26467124,9.799010893,14,211.3474777,17.35372351,13.2950065,21,161646,TRUE,14681,1209,5,0,4,8,0,2,0,0,0,9,2
business;education;mediasharing,2017,12.8573969,15.68386373,8087.333333,18,17,218.5757473,15.26467124,9.799010893,12,188.2063647,17.35372351,13.2950065,18,145572,FALSE,15576,1209,6,0,2,14,0,2,0,0,0,8,2
business;education;mediasharing,2018,13.04821023,15.71464653,9089.25,12,12,156.5785228,15.26467124,9.935671642,10,157.1464653,17.35372351,12.16174496,12,109071,FALSE,21218,1209,7,0,2,27,0,2,0,0,0,12,2
business;education;mediasharing,2019,12.35734577,15.64213284,7578.333333,15,15,185.3601865,15.26467124,9.799010893,10,156.4213284,17.35372351,13.40145869,15,113675,TRUE,21227,1209,7,0,4,27,0,2,0,0,0,13,3
business;education;messageboardsandforums,2001,11.49691919,14.11778686,4343,2,2,22.99383838,11.49691919,11.49691919,2,28.23557373,14.11778686,14.11778686,2,8686,TRUE,4343,4343,0,0,0,0,0,0,0,0,0,0,0
business;education;messageboardsandforums,2002,11.6419487,13.89270906,4740.5,2,2,23.2838974,11.95900542,11.32489199,2,27.78541813,13.91797589,13.86744224,2,9481,FALSE,4743,4738,0,0,0,0,0,0,0,0,0,0,0
business;education;messageboardsandforums,2003,12.55834399,14.14750175,6694.25,4,3,37.67503198,13.71992123,11.92562494,3,42.44250526,14.50688674,13.86744224,4,26777,FALSE,15821,1504,0,0,0,0,0,0,0,0,0,0,0
business;education;messageboardsandforums,2004,11.9719804,14.15012717,5547.8,5,4,47.8879216,13.76955575,10.18201486,3,42.4503815,14.31402892,14.06817629,5,27739,FALSE,15617,1192,0,0,0,0,0,0,0,0,0,0,0
business;education;messageboardsandforums,2005,11.04755706,14.01822512,2887,4,4,44.19022823,11.91933333,10.18201486,2,28.03645024,14.06817629,13.96827395,4,11548,TRUE,4704,1192,0,0,0,0,0,0,0,0,0,0,0
business;education;messageboardsandforums,2006,11.0506741,13.96827395,2990.5,4,4,44.20269639,11.91933333,10.18201486,2,27.93654791,13.96827395,13.96827395,4,11962,FALSE,4789,1192,0,0,0,0,0,0,0,0,0,0,0
business;education;messageboardsandforums,2007,11.98894306,14.28125239,7690.8,5,5,59.94471528,13.79510794,10.18201486,3,42.84375718,14.36255379,14.16717447,5,38454,FALSE,15622,1192,0,0,0,0,0,0,0,0,0,0,0
business;education;messageboardsandforums,2008,12.44706315,14.29742735,9315.25,4,4,49.7882526,13.79510794,10.18201486,3,42.89228205,14.36255379,14.16717447,4,37261,FALSE,15619,1192,0,0,0,0,0,0,0,0,0,0,0
business;education;messageboardsandforums,2009,13.80089751,13.93468638,9068.333333,3,3,41.40269254,15.48470595,12.12287865,2,27.86937276,14.36255379,13.50681897,3,27205,FALSE,15619,4830,0,0,0,0,0,0,0,0,0,0,0
business;education;messageboardsandforums,2010,13.56775333,13.88768316,5824.8,5,5,67.83876663,15.48470595,12.12287865,3,41.66304948,14.64941154,13.50681897,5,29124,TRUE,6756,4830,1,0,0,2,0,0,0,0,0,1,0
business;education;messageboardsandforums,2011,13.46605528,13.85607683,5391.666667,6,6,80.79633167,15.48470595,12.12287865,3,41.56823049,14.55459255,13.50681897,6,32350,TRUE,6756,3407,1,0,0,2,0,0,0,0,0,1,0
business;education;messageboardsandforums,2012,12.56230658,14.8659068,5736.4,10,10,125.6230658,15.48470595,9.933004926,4,59.4636272,16.84762313,13.50681897,10,57364,FALSE,21423,1267,4,0,0,11,0,1,1,0,0,6,1
business;education;messageboardsandforums,2013,12.04429115,16.08327961,7085.333333,9,9,108.3986204,13.28765253,9.933004926,3,48.24983882,16.84762313,14.55459255,9,63768,FALSE,21423,2174,3,0,0,14,0,2,0,0,0,5,2
business;education;messageboardsandforums,2014,12.29409863,16.96555604,6804.272727,11,9,110.6468877,14.16041441,9.933004926,2,33.93111209,17.08348895,16.84762313,11,74847,FALSE,21423,2174,4,0,0,16,0,2,0,0,0,6,2
business;education;messageboardsandforums,2015,12.31351334,16.88721491,6870.3,10,9,110.8216201,14.16041441,9.933004926,2,33.77442983,16.88721491,16.88721491,10,68703,FALSE,21355,2174,4,0,0,16,0,2,0,0,0,6,2
business;education;messageboardsandforums,2016,11.90069711,16.88721491,6409.9,10,10,119.0069711,14.16041441,9.933004926,2,33.77442983,16.88721491,16.88721491,10,64099,TRUE,21358,952,4,0,0,16,0,2,0,0,0,6,2
business;education;messageboardsandforums,2017,12.2769654,16.88721491,8318.285714,7,7,85.93875777,14.16041441,9.933004926,2,33.77442983,16.88721491,16.88721491,7,58228,FALSE,21358,2297,4,0,0,16,0,2,0,0,0,6,2
business;education;messageboardsandforums,2018,12.62514885,15.59951262,12246.69231,13,13,164.126935,16.00633748,9.933004926,7,109.1965883,18.20757608,14.64941154,13,159207,FALSE,35045,2522,6,1,2,11,0,0,1,0,0,4,4
business;education;messageboardsandforums,2019,12.83985602,15.99091099,9407.444444,9,9,115.5587042,16.86414034,10.91785501,4,63.96364397,17.58133194,14.64941154,9,84667,FALSE,31549,2268,4,0,4,15,0,0,0,0,0,4,6
business;education;newsandmedia,1998,11.92802507,14.44172514,3140,4,4,47.7121003,12.95563099,11.12434251,2,28.88345029,15.06678064,13.81666965,4,12560,TRUE,5620,921,2,0,0,15,0,0,0,0,0,0,0
business;education;newsandmedia,1999,12.00304813,14.14779921,4080.307692,13,13,156.0396257,14.67460872,9.92540458,8,113.1823937,14.64941154,12.96874232,13,53044,FALSE,7455,921,9,2,0,49,0,3,0,0,0,1,1
business;education;newsandmedia,2000,12.28520797,14.84707092,6738.073171,41,41,503.6935268,16.33397555,7.518114754,32,475.1062695,17.1224134,12.34062658,41,276261,FALSE,21610,918,29,22,5,116,0,6,5,0,0,13,28
business;education;newsandmedia,2001,12.98470417,15.33889311,8258.674699,83,83,1077.730447,17.16152104,8.447511244,65,997.0280524,17.35372351,12.74508487,83,685470,FALSE,21891,796,51,43,33,205,2,42,14,4,0,32,21
business;education;newsandmedia,2002,12.91460215,15.15262246,7757.065041,123,123,1588.496065,16.84120173,8.447511244,89,1348.583399,17.35372351,13.0238668,123,954119,FALSE,21221,931,84,67,35,360,1,10,16,0,0,58,31
business;education;newsandmedia,2003,12.5789652,15.07438833,7518.901639,122,120,1509.475824,16.84120173,8.447511244,84,1266.24862,18.27955013,11.27519041,122,917306,TRUE,32769,931,78,59,31,334,0,9,9,0,0,56,35
business;education;newsandmedia,2004,12.64689123,14.96107601,7810.223022,139,138,1745.270989,16.84120173,7.518114754,95,1421.302221,18.27955013,12.63128222,139,1085621,FALSE,32769,931,88,74,46,393,0,7,9,0,0,69,44
business;education;newsandmedia,2005,12.71637566,14.97382991,8484.586207,145,143,1818.441719,16.30977051,7.518114754,101,1512.35682,17.16122988,12.74508487,145,1230265,FALSE,28698,931,86,50,38,350,1,1,12,0,0,74,42
business;education;newsandmedia,2006,12.73090832,14.97730624,8586.333333,168,166,2113.330782,16.32412622,7.518114754,117,1752.34483,18.42248207,11.60247206,168,1442504,FALSE,28015,707,87,57,38,344,0,6,9,0,0,65,42
business;education;newsandmedia,2007,12.93000941,15.03677648,8373.781095,201,200,2586.001882,16.44814507,8.199743847,139,2090.111931,17.46797935,12.5738667,201,1683130,TRUE,33149,707,104,49,51,337,0,11,18,0,0,69,52
business;education;newsandmedia,2008,13.17396292,15.39942552,8686.122727,220,220,2898.271843,17.76311278,8.199743847,157,2417.709806,19.52113169,11.14053502,220,1910947,FALSE,33149,895,121,61,71,451,2,13,33,0,0,91,81
business;education;newsandmedia,2009,13.58316394,15.7736102,9661.763566,258,255,3463.706804,17.76311278,8.199743847,200,3154.72204,19.52113169,11.66642294,258,2492735,FALSE,30699,760,157,113,84,737,2,10,37,0,0,114,138
business;education;newsandmedia,2010,13.43952376,15.66543761,9894.022654,309,300,4031.857129,17.62524012,8.206135122,239,3744.039588,19.52113169,11.66642294,309,3057253,FALSE,44575,375,171,141,91,837,2,8,34,0,0,141,161
business;education;newsandmedia,2011,13.29575278,15.53116068,10236.88919,370,360,4786.471002,17.90044765,8.634980796,293,4550.63008,17.7311,11.97924847,370,3787649,FALSE,49222,375,197,150,94,954,2,9,35,0,0,174,185
business;education;newsandmedia,2012,13.37975827,15.61370751,10332.28982,383,373,4990.649836,17.90044765,7.874762774,304,4746.567082,17.7311,10.86419502,383,3957267,FALSE,49224,375,195,150,97,948,2,2,32,0,0,173,195
business;education;newsandmedia,2013,13.4023736,15.61279342,10587.90441,408,401,5374.351816,17.90044765,7.874762774,325,5074.157862,18.8434795,10.86419502,408,4319865,FALSE,56946,392,189,130,103,872,2,6,32,0,0,164,151
business;education;newsandmedia,2014,13.36381561,15.54519019,11494.80505,436,428,5719.71308,17.79231478,7.874762774,347,5394.180997,18.80882812,10.86419502,436,5011735,FALSE,60561,998,226,122,76,1053,2,14,29,0,0,163,209
business;education;newsandmedia,2015,13.34640909,15.45627666,11281.6841,459,451,6019.230499,17.22345121,7.545215947,361,5579.715875,18.42248207,10.1257567,459,5178293,FALSE,60561,907,233,117,60,1051,5,13,27,0,0,190,225
business;education;newsandmedia,2016,13.37759272,15.58366859,12280.59281,501,492,6581.775618,17.08702381,7.669395189,398,6202.300099,18.42248207,9.725611199,501,6152577,FALSE,129995,736,260,145,62,1172,6,16,18,0,0,217,272
business;education;newsandmedia,2017,13.38432499,15.63400543,13540.84877,529,524,7013.386297,17.16125601,9.105647413,429,6706.98833,19.0156027,11.97924847,529,7163109,FALSE,163813,736,289,149,82,1306,4,12,21,0,0,251,347
business;education;newsandmedia,2018,13.26326624,15.37856384,14880.06713,432,428,5676.67795,16.97616545,9.035098547,367,5643.932929,19.0156027,10.65027996,432,6428189,FALSE,80807,736,246,106,51,958,3,4,23,0,0,227,312
business;education;newsandmedia,2019,13.33704445,15.31468013,16628.27477,444,444,5921.647737,17.27454898,6.220671835,380,5819.578448,19.0156027,9.558583805,444,7382954,FALSE,80807,736,280,78,70,1017,5,4,20,0,0,278,331
business;education;realestate,2000,,,553,1,0,,,,0,,,,1,553,TRUE,553,553,0,0,0,0,0,0,0,0,0,0,0
business;education;realestate,2008,12.44880979,,5259.666667,3,3,37.34642936,13.0657496,12.13884173,0,,,,3,15779,FALSE,6269,3243,1,0,0,1,0,0,1,0,0,2,0
business;education;realestate,2009,11.89550438,13.66288365,4606.666667,3,3,35.68651315,13.0657496,10.47892552,1,13.66288365,13.66288365,13.66288365,3,13820,FALSE,6269,3243,1,0,0,1,0,0,1,0,0,2,0
business;education;realestate,2010,11.31038177,13.66288365,5289,4,4,45.24152709,12.14183803,10.47892552,2,27.3257673,13.66288365,13.66288365,4,21156,FALSE,6271,4308,0,0,0,0,0,0,0,0,0,0,0
business;education;realestate,2011,12.6526905,15.77480295,6696.8,5,5,63.26345251,13.0657496,12.15169839,1,15.77480295,15.77480295,15.77480295,5,33484,FALSE,14432,3242,3,0,0,3,0,0,2,0,0,6,0
business;education;realestate,2012,12.6935757,15.77480295,7970,6,6,76.16145422,13.0657496,12.18642097,2,31.54960589,15.77480295,15.77480295,6,47820,FALSE,14432,3242,4,0,0,4,0,0,2,0,0,8,0
business;education;realestate,2013,12.6935757,15.77480295,7969.833333,6,6,76.16145422,13.0657496,12.18642097,2,31.54960589,15.77480295,15.77480295,6,47819,FALSE,14432,3242,4,0,0,4,0,0,2,0,0,8,0
business;education;realestate,2014,12.90762089,15.77480295,10701.33333,3,3,38.72286267,13.0657496,12.82855653,2,31.54960589,15.77480295,15.77480295,3,32104,FALSE,14431,3242,3,0,0,3,0,0,1,0,0,6,0
business;education;realestate,2015,12.94715307,15.77480295,8836.5,4,4,51.78861227,13.0657496,12.82855653,2,31.54960589,15.77480295,15.77480295,4,35346,FALSE,14431,3242,4,0,0,4,0,0,2,0,0,8,0
business;education;realestate,2016,12.94715307,15.77480295,8836.5,4,4,51.78861227,13.0657496,12.82855653,2,31.54960589,15.77480295,15.77480295,4,35346,FALSE,14431,3242,4,0,0,4,0,0,2,0,0,8,0
business;education;realestate,2017,12.82855653,15.77480295,14431,1,1,12.82855653,12.82855653,12.82855653,1,15.77480295,15.77480295,15.77480295,1,14431,FALSE,14431,14431,1,0,0,1,0,0,0,0,0,2,0
business;education;realestate,2018,12.81885665,15.02863195,19316.66667,3,3,38.45656996,13.6791105,12.30363938,3,45.08589584,15.55787943,14.50688674,3,57950,FALSE,29542,9650,2,0,0,2,0,0,0,0,0,2,3
business;education;realestate,2019,13.31922888,14.97868235,21980.5,4,4,53.27691551,14.68246001,12.4576725,4,59.91472941,15.55787943,14.55459255,4,87922,FALSE,29542,18968,4,0,0,2,0,0,0,0,0,2,7
business;education;religion,2002,12.42906758,,6269,1,1,12.42906758,12.42906758,12.42906758,0,,,,1,6269,TRUE,6269,6269,1,0,1,2,0,0,0,0,0,0,0
business;education;religion,2003,10.97302634,14.36255379,4557,5,5,54.86513171,12.42906758,9.086846847,1,14.36255379,14.36255379,14.36255379,5,22785,TRUE,7523,1297,3,0,2,10,0,0,0,0,0,0,0
business;education;religion,2004,10.91781751,14.36255379,5447.666667,3,3,32.75345254,11.83330284,9.086846847,2,28.72510758,14.36255379,14.36255379,3,16343,FALSE,7523,1297,2,0,0,12,0,0,0,0,0,0,0
business;education;religion,2005,11.29279876,14.29742735,3673.5,6,4,45.17119503,12.41774249,9.086846847,3,42.89228205,14.36255379,14.16717447,6,22041,TRUE,7523,548,2,0,0,12,0,0,0,0,0,0,0
business;education;religion,2006,11.01166911,14.06016331,3542.875,8,6,66.07001466,12.41774249,9.086846847,4,56.24065325,14.36255379,13.34837121,8,28343,TRUE,7523,548,2,0,0,12,0,0,0,0,0,0,0
business;education;religion,2007,11.45698036,14.11226924,5048.333333,6,6,68.74188213,12.98470385,9.086846847,4,56.44907696,15.02112968,13.45427322,6,30290,FALSE,7523,1297,2,0,0,11,0,0,0,0,0,0,0
business;education;religion,2008,12.74122922,14.30107967,5643.125,8,8,101.9298338,14.678,10.77727679,5,71.50539835,15.02112968,13.45427322,8,45145,FALSE,8312,3781,5,1,2,16,0,0,0,0,0,0,1
business;education;religion,2009,13.05593854,14.65898789,6829.888889,9,9,117.5034469,14.678,11.65782905,7,102.6129153,16.36328637,13.45427322,9,61469,FALSE,11727,4479,6,2,2,18,0,0,0,0,0,0,2
business;education;religion,2010,12.98227095,14.55038445,6902.818182,11,11,142.8049804,14.678,11.65782905,9,130.9534601,16.36328637,13.45427322,11,75931,FALSE,11727,4479,6,1,2,15,0,0,0,0,0,2,1
business;education;religion,2011,12.81298699,14.60517843,7221.333333,12,12,153.7558439,14.678,11.65782905,10,146.0517843,16.36328637,13.45427322,12,86656,FALSE,11727,4479,6,2,2,12,0,0,0,0,0,2,2
business;education;religion,2012,13.21928554,14.71555722,7841.222222,9,9,118.9735698,14.678,11.67466422,7,103.0089006,16.36328637,13.45427322,9,70571,FALSE,15603,4479,5,0,3,13,0,0,0,0,0,2,2
business;education;religion,2013,13.21479864,15.20318969,9444.466667,15,15,198.2219797,15.52688853,10.44418733,12,182.4382763,17.58133194,13.34837121,15,141667,FALSE,16729,3000,9,0,4,32,0,0,0,0,0,3,4
business;education;religion,2014,13.13926289,15.17289633,8641.894737,19,19,249.6459949,15.52688853,10.44418733,14,212.4205486,17.58133194,13.34837121,19,164196,FALSE,16729,1543,10,0,4,34,0,0,0,0,0,4,4
business;education;religion,2015,12.87855342,15.10245216,8118.857143,21,21,270.4496217,15.52688853,10.44418733,17,256.7416867,17.58133194,13.61112027,21,170496,TRUE,16729,1543,11,0,4,38,0,0,0,0,0,3,16
business;education;religion,2016,13.0149258,14.84052911,8135.214286,28,28,364.4179223,15.2580937,10.44418733,23,341.3321696,16.6479251,13.61112027,28,227786,FALSE,15958,1543,11,3,4,42,0,0,0,0,0,4,17
business;education;religion,2017,12.87372894,14.78964605,7811.25,24,24,308.9694946,15.2580937,10.44418733,18,266.213629,16.6479251,13.61112027,24,187470,TRUE,15860,1543,9,2,5,36,0,0,0,1,0,4,10
business;education;religion,2018,13.11104507,14.90512816,8536.857143,21,21,275.3319464,15.2580937,10.44418733,17,253.3871787,16.6479251,13.76565471,21,179274,FALSE,15860,1972,7,1,7,23,0,0,0,2,0,2,14
business;education;religion,2019,13.16916579,14.95642095,9266.75,16,16,210.7066526,15.33169419,10.44418733,14,209.3898934,16.96605863,13.86744224,16,148268,FALSE,15368,3002,5,1,5,16,0,0,0,2,0,2,6
business;education;searchenginesandportals,2000,10.85510204,,3883,1,1,10.85510204,10.85510204,10.85510204,0,,,,1,3883,TRUE,3883,3883,0,0,0,0,0,0,0,0,0,0,0
business;education;searchenginesandportals,2001,11.86770115,13.5591,8070,1,1,11.86770115,11.86770115,11.86770115,1,13.5591,13.5591,13.5591,1,8070,FALSE,8070,8070,0,0,0,0,0,0,0,0,0,0,0
business;education;searchenginesandportals,2002,12.36594185,13.7143939,11418,1,1,12.36594185,12.36594185,12.36594185,1,13.7143939,13.7143939,13.7143939,1,11418,FALSE,11418,11418,0,0,0,0,0,0,0,0,0,0,0
business;education;searchenginesandportals,2003,12.36594185,13.7143939,11418,2,2,24.7318837,12.36594185,12.36594185,2,27.4287878,13.7143939,13.7143939,2,22836,FALSE,11418,11418,0,0,0,0,0,0,0,0,0,0,0
business;education;searchenginesandportals,2005,11.86770115,13.5591,8070,1,1,11.86770115,11.86770115,11.86770115,1,13.5591,13.5591,13.5591,1,8070,TRUE,8070,8070,0,0,0,0,0,0,0,0,0,0,0
business;education;searchenginesandportals,2006,10.69210482,13.70989919,13776.5,2,2,21.38420963,11.05025974,10.33394989,2,27.41979838,14.01833969,13.40145869,2,27553,FALSE,13782,13771,0,0,0,0,0,0,0,0,0,0,0
business;education;searchenginesandportals,2007,11.1896003,14.15319302,15940,3,3,33.5688009,12.96311123,10.27173978,3,42.45957905,15.29246565,13.40145869,3,47820,FALSE,21049,13000,0,0,0,0,0,0,0,0,0,0,0
business;education;searchenginesandportals,2008,12.01151974,14.55666415,14432,5,5,60.05759868,15.52518738,10.27173978,5,72.78332073,17.61891908,12.34062658,5,72160,FALSE,21049,8760,1,0,1,2,0,0,0,0,0,1,1
business;education;searchenginesandportals,2009,12.1302095,14.17020133,12942.66667,3,3,36.39062851,15.09306822,10.27173978,3,42.510604,16.40432271,12.34062658,3,38828,TRUE,16351,9477,1,0,1,2,0,0,0,0,0,1,1
business;education;searchenginesandportals,2010,12.13532176,14.11971949,12746.75,4,4,48.54128704,15.09306822,10.27173978,4,56.47887795,16.40432271,12.34062658,4,50987,TRUE,16349,9477,2,0,1,3,0,0,0,0,0,2,2
business;education;searchenginesandportals,2011,12.8767431,14.29163451,11937,7,5,64.38371548,15.09306822,11.0211,5,71.45817254,16.40432271,12.34062658,7,83559,TRUE,16349,9477,3,0,2,5,0,0,0,0,0,3,3
business;education;searchenginesandportals,2012,12.34711577,13.84838335,12277.57143,7,6,74.08269459,15.09306822,11.0211,6,83.09030007,16.40432271,12.34062658,7,85943,FALSE,16349,9477,4,0,1,6,0,0,0,0,0,3,5
business;education;searchenginesandportals,2013,12.38848041,13.87978234,11737.77778,9,7,86.71936287,15.09306822,11.0211,7,97.15847636,16.40432271,12.34062658,9,105640,TRUE,16349,9477,5,0,1,8,0,0,0,0,0,3,7
business;education;searchenginesandportals,2014,12.15748858,13.78193266,12178.14286,7,5,60.78744291,12.63666827,11.0211,5,68.90966332,14.21634208,12.34062658,7,85247,FALSE,16349,9727,4,0,0,6,0,0,0,0,0,2,6
business;education;searchenginesandportals,2015,11.82707684,13.48495032,13570.83333,6,5,59.13538419,12.63666827,11.0211,5,67.42475159,14.45898005,12.34062658,6,81425,FALSE,16349,9727,3,0,0,4,0,0,0,0,0,2,4
business;education;searchenginesandportals,2016,12.33505624,14.0919289,12188.57143,7,6,74.01033745,15.09306822,11.0211,6,84.55157343,16.40432271,12.34062658,7,85320,FALSE,16349,4812,3,0,1,8,0,0,0,0,0,1,7
business;education;searchenginesandportals,2017,13.42306628,14.56067178,19865.66667,9,8,107.3845303,15.54716108,11.0211,8,116.4853743,16.40432271,12.34062658,9,178791,FALSE,39679,4812,4,0,1,2,0,0,0,0,0,4,7
business;education;searchenginesandportals,2018,14.55718384,15.37581713,29682.42857,7,7,101.9002869,15.54716108,11.86084211,7,107.6307199,15.68848315,14.16717447,7,207777,FALSE,38663,4812,5,0,0,0,0,0,0,0,0,5,10
business;education;searchenginesandportals,2019,15.54716108,15.68848315,38663,4,4,62.18864433,15.54716108,15.54716108,4,62.75393258,15.68848315,15.68848315,4,154652,FALSE,38663,38663,4,0,0,0,0,0,0,0,0,4,8
business;education;shopping,1998,12.88795795,,1983.666667,3,3,38.66387384,14.85273712,11.14048183,0,,,,3,5951,TRUE,2843,1394,1,0,0,1,0,0,0,0,0,0,0
business;education;shopping,1999,12.22758547,15.73171695,3263.5,6,6,73.36551279,13.75741548,11.14048183,1,15.73171695,15.73171695,15.73171695,6,19581,FALSE,7744,1670,1,0,2,1,0,0,0,0,0,1,1
business;education;shopping,2000,12.26788539,14.79086479,4295.214286,28,25,306.6971347,17.97177942,9.303400673,8,118.3269184,16.11434528,13.61112027,28,120266,FALSE,16110,396,7,5,0,77,0,1,4,0,0,10,3
business;education;shopping,2001,12.0942152,14.35312051,4816.840909,44,42,507.9570384,18.2266895,9.303400673,19,272.7092897,18.49344942,11.20814326,44,211941,FALSE,24009,1183,13,3,7,62,0,7,0,0,0,7,6
business;education;shopping,2002,12.29625997,14.6744357,5670.267606,71,69,848.4419382,18.2266895,9.009622302,38,557.6285565,18.49344942,11.20814326,71,402589,FALSE,24011,1183,28,4,14,138,0,16,1,0,0,18,26
business;education;shopping,2003,12.0754225,14.36570241,5670.819277,83,80,966.0337999,18.2266895,9.009622302,42,603.3595013,18.49344942,11.66642294,83,470678,FALSE,24011,724,32,3,16,161,0,18,3,0,0,22,26
business;education;shopping,2004,12.16762994,14.45893579,5561.076923,104,101,1228.930623,18.2266895,9.009622302,54,780.7825326,18.49344942,11.66642294,104,578352,TRUE,24083,724,40,9,30,205,0,23,4,0,0,25,22
business;education;shopping,2005,12.36403155,14.49997831,5765.008475,118,113,1397.135565,18.2266895,9.009622302,59,855.4987203,17.80541091,11.66642294,118,680271,FALSE,25954,724,43,13,38,291,0,22,5,0,0,37,29
business;education;shopping,2006,12.30717465,14.56205893,5880.276074,163,158,1944.533595,17.84854387,9.009622302,87,1266.899127,17.84242563,11.66642294,163,958485,FALSE,25954,724,55,17,43,369,0,24,5,0,0,49,37
business;education;shopping,2007,12.39017461,14.58533608,5790.383784,185,178,2205.45108,17.84854387,8.243150483,98,1429.362936,17.80541091,11.60247206,185,1071221,FALSE,25954,636,56,16,44,332,0,25,6,0,0,64,28
business;education;shopping,2008,12.56489579,14.85796576,6190.858407,226,215,2701.452594,18.2266895,9.009622302,121,1797.813857,18.0261197,11.85546408,226,1399134,FALSE,21882,588,76,25,50,330,0,26,7,0,0,66,53
business;education;shopping,2009,12.66463088,14.84805806,6398.057522,226,213,2697.566377,18.2266895,8.144707483,126,1870.855315,18.0261197,9.888512548,226,1445961,FALSE,28034,588,86,44,49,468,0,16,23,0,0,76,75
business;education;shopping,2010,12.62039616,14.86757848,6368.792079,303,289,3647.294491,18.2266895,8.358584948,168,2497.753184,18.27955013,11.34169021,303,1929744,FALSE,28034,636,112,33,63,508,0,26,20,1,0,90,109
business;education;shopping,2011,12.70940503,15.08866015,6962.889423,416,399,5071.052607,18.2266895,8.059096774,244,3681.633077,18.73929462,11.97924847,416,2896562,FALSE,23548,575,162,37,72,545,0,21,12,1,0,146,152
business;education;shopping,2012,12.7177432,15.07353026,7301.179959,489,471,5990.057048,18.2266895,7.977682291,288,4341.176716,19.0156027,10.86419502,489,3570277,FALSE,33663,636,204,51,110,779,0,23,25,1,0,211,198
business;education;shopping,2013,12.79462392,15.08732409,7908.105948,538,517,6614.820566,18.2266895,8.018678802,324,4888.293004,19.0156027,11.07235135,538,4254561,FALSE,29239,546,219,54,155,933,0,29,34,0,0,229,219
business;education;shopping,2014,12.82754083,15.04178481,8502.110155,581,559,7170.595324,18.2266895,8.014312504,364,5475.209671,19.0156027,11.07235135,581,4939726,FALSE,39982,546,240,85,188,1089,0,54,27,0,0,259,230
business;education;shopping,2015,12.79871529,15.00615075,8789.407176,641,619,7922.404763,18.2266895,4.485454545,427,6407.626372,19.0156027,9.968508381,641,5634010,FALSE,39982,546,271,89,210,1203,0,55,29,0,0,292,270
business;education;shopping,2016,12.77064482,15.06158212,8955.050975,667,639,8160.442037,19.60994048,4.485454545,445,6702.404044,19.0156027,11.27519041,667,5973019,FALSE,40974,546,282,87,184,1234,0,55,26,1,0,293,280
business;education;shopping,2017,12.91775116,15.16905192,9635,586,562,7259.776154,20.74559006,4.485454545,407,6173.804132,21.19438992,11.34169021,586,5646110,FALSE,39989,546,264,76,187,1194,0,88,33,1,0,247,264
business;education;shopping,2018,12.94082863,15.10066265,11452.48454,388,374,4839.869907,20.57444586,4.485454545,294,4439.594819,19.21972031,10.65027996,388,4443564,FALSE,70540,546,196,55,157,1040,2,123,17,1,0,178,200
business;education;shopping,2019,12.84363568,14.98827596,13991.76854,445,435,5586.981522,20.65676284,6.531156522,362,5425.755898,21.19438992,8.93627823,445,6226337,FALSE,192589,546,229,85,235,1702,5,283,23,2,0,226,265
business;education;socialnetworking,2007,10.72688431,,1159,1,1,10.72688431,10.72688431,10.72688431,0,,,,1,1159,TRUE,1159,1159,0,0,0,0,0,0,0,0,0,0,0
business;education;socialnetworking,2008,15.14425549,15.6451,29304,1,1,15.14425549,15.14425549,15.14425549,1,15.6451,15.6451,15.6451,1,29304,FALSE,29304,29304,1,0,0,1,0,0,0,0,0,0,1
business;education;socialnetworking,2016,13.24186773,14.06806328,18156,2,2,26.48373545,13.89980938,12.58392607,2,28.13612655,14.11778686,14.01833969,2,36312,FALSE,20389,15923,2,0,0,10,0,0,0,0,0,4,3
business;education;socialnetworking,2017,12.56282081,14.06817629,15921,1,1,12.56282081,12.56282081,12.56282081,1,14.06817629,14.06817629,14.06817629,1,15921,TRUE,15921,15921,1,0,0,5,0,0,0,0,0,1,2
business;education;socialnetworking,2018,12.56282081,14.06817629,15921,1,1,12.56282081,12.56282081,12.56282081,1,14.06817629,14.06817629,14.06817629,1,15921,FALSE,15921,15921,1,0,0,5,0,0,0,0,0,1,2
business;education;socialnetworking,2019,12.86236599,13.73481749,23147,2,2,25.72473199,13.16191118,12.56282081,2,27.46963497,14.06817629,13.40145869,2,46294,FALSE,30373,15921,2,0,1,6,0,0,0,0,0,1,3
business;education;sports,2000,11.05576727,13.7143939,3564,1,1,11.05576727,11.05576727,11.05576727,1,13.7143939,13.7143939,13.7143939,1,3564,TRUE,3564,3564,1,2,1,9,0,0,1,0,0,0,0
